epoch,learning_rate
1,9.999999747378752e-06
2,9.999999747378752e-06
3,9.999999747378752e-06
4,9.999999747378752e-06
5,9.999999747378752e-06
6,9.999999747378752e-06
7,9.999999747378752e-06
8,9.999999747378752e-06
9,9.999999747378752e-06
10,9.999999747378752e-06
11,9.999999747378752e-06
12,9.999999747378752e-06
13,9.999999747378752e-06
14,9.999999747378752e-06
15,9.999999747378752e-06
16,9.999999747378752e-06
17,9.999999747378752e-06
18,9.999999747378752e-06
19,9.999999747378752e-06
20,9.999999747378752e-06
21,9.999999747378752e-06
22,9.999999747378752e-06
23,9.999999747378752e-06
24,9.999999747378752e-06
25,9.999999747378752e-06
26,9.999999747378752e-06
27,9.999999747378752e-06
28,9.999999747378752e-06
29,9.999999747378752e-06
30,9.999999747378752e-06
31,9.999999747378752e-06
32,9.999999747378752e-06
33,9.999999747378752e-06
34,9.999999747378752e-06
35,9.999999747378752e-06
36,9.999999747378752e-06
37,9.999999974752427e-07
38,9.999999974752427e-07
39,9.999999974752427e-07
40,9.999999974752427e-07
41,9.999999974752427e-07
42,9.999999974752427e-07
43,9.999999974752427e-07
44,9.999999974752427e-07
45,9.999999974752427e-07
46,9.999999974752427e-07
47,9.999999974752427e-07
48,9.999999974752427e-07
49,9.999999974752427e-07
50,9.999999974752427e-07
51,9.999999974752427e-07
52,9.999999974752427e-07
53,9.999999974752427e-07
54,9.999999974752427e-07
55,9.999999974752427e-07
56,9.999999974752427e-07
57,1.0000000116860974e-07
58,1.0000000116860974e-07
59,1.0000000116860974e-07
60,1.0000000116860974e-07
61,1.0000000116860974e-07
62,1.0000000116860974e-07
63,1.0000000116860974e-07
64,1.0000000116860974e-07
65,1.0000000116860974e-07
66,1.0000000116860974e-07
