schema_version,baseline_id,baseline_source_head,relative_path,size_bytes,sha256,evidence_class,governance_source,approved_for_presence_during_formal_run,presence_policy
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/SolarEnergy_directory_structure.txt,7733,f42f11aa463b0718b9de7329625765c3a55f65c7c12abf8b609f004e6dc41d27,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/Experiment_B_Master_20260915.md,7849,17d9810771d91c5c67ce5d25bcfa60a754cd97597428ffa1e926c764d99af042,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/Experiment_B_Master_20260915.pdf,94993,7b925de5f5efbe42a07ef613ff771e37235b63dac0dc4d7f7c6c4edc345dbf61,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/README_20260915.md,20166,4e93d69b130bc006ea196485d1e020008af8f52dfba838462d22e39abfeb6bc8,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/README_Solar_v1_20260817.md,19022,a04771ba2e5bfc8afcc0a52b778f0dc245602d7edc0a1f2f4d553ae09ec23071,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/experiment_protocol_20260818.md,16112,bc174195ab4d94412d30838a1eeb0534e82b29474c2131fc960dff3289bdb710,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/experiment_protocol_20260915.md,16112,bc174195ab4d94412d30838a1eeb0534e82b29474c2131fc960dff3289bdb710,GOVERNED_RETAINED_EVIDENCE,R5A_human_approval: historical protocol snapshot; byte-identical to historical committed/HEAD protocol blob; exact_sha_relation=bc174195ab4d94412d30838a1eeb0534e82b29474c2131fc960dff3289bdb710,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/results_summary_20260818.md,14349,85df6e1769d0356ba3be17e0ef8fa09d06947d68a1f16ad7a966e96a6c8b64d3,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/results_summary_20260915 (2).md,10352,366657e58b6863b27f5f3455fad81139e75c09fb4ef16a1bb6bc3a2c1d5754bd,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/修改紀錄/results_summary_20260915.md,10323,1edbd73d73d64de973ead9095f9afedcdb7db689e6f9522f2de65c7de7800d9d,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/執行紀錄/20260814執行資料紀錄.txt,151810,80f1c37ba17cf254326d99ea3dfe7336bcba348ab646d8c1bff8000a6b223118,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/執行紀錄/Phase_IV_B_Audit_20260821T041718Z_seed1234.tar.gz,242268,3d60e53e65cc3ff62435dcc4e5ec548a2fc822fc890fe9e8f770f309e8f68552,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/執行紀錄/Phase_IV_B_Audit_20260821T041718Z_seed1234.zip,253365,b18cd601ece7c9c7ecd5a7475d94161151e6e412910b662a82b8e0400a180e5c,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/執行紀錄/Phase_IV_B_Audit_20260821T041718Z_seed1234/reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/protocol_manifest.json,8055,09d92963d240fa705dd4dc045ddd5d8516887fd09a15f59d1fd53afbb884b3f8,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
1,Solar_LSTM_A2_approved_untracked_v1,424374766d7284c7927cbeb7f17f8a3aa8036d39,notebook/執行紀錄/Phase_IV_B_Audit_20260821T041718Z_seed1234/reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/selection/selection.json,9430,5a6494136a89509b22f2f8f261b2f1efbad5d6c4785d086a654ab9403e0ffd2d,GOVERNED_RETAINED_EVIDENCE,step6_decision:reports/governance/Solar_LSTM_Step6_notebook_archive_duplicate_decisions.csv@sha256:ed29cc04e4b1683a9ea8823c380b41308d1d7d479813fd6e5d482dd261531e3d; disposition=KEEP_IN_REPOSITORY_ARCHIVE_ONLY,true,required
